step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,386,2,0.15904977298791032,0.0,0.6842105263157895,0.11174971346158324,0.0,0.6578947368421053
2,1076,4,0.08976975736568023,0.0,0.6842105263157895,,,
3,1606,6,0.09386109727296314,0.0,0.7105263157894737,,,
4,3384,8,0.029970980126279453,0.0,0.8157894736842105,,,
5,4522,10,0.029563442337909005,0.0,0.8947368421052632,,,
6,5228,12,0.035289366842594296,0.0,0.9473684210526315,,,
7,5966,14,0.022804637465700665,1.0,1.0,,,
8,6768,16,0.02209544427325529,1.0,1.0,,,
9,7346,18,0.01941359187967197,1.0,1.0,0.04164994195344227,0.5,0.9210526315789473
10,7924,20,0.024390145192826944,1.0,1.0,,,
11,8486,22,0.019013425280267823,1.0,1.0,,,
12,9000,24,0.024071680212899408,1.0,1.0,,,
13,9706,26,0.024485053259759214,1.0,1.0,,,
14,10284,28,0.02057341327701105,1.0,1.0,,,
15,13630,30,0.013731228266758554,1.0,1.0,,,
16,14256,32,0.019161192407075152,1.0,1.0,,,
17,15474,34,0.01566019864913262,1.0,1.0,0.09016826314412452,0.0,0.8421052631578947
18,16468,36,0.015524198174087896,1.0,1.0,,,
19,18230,38,0.015691203903028257,1.0,1.0,,,
20,19160,40,0.016769871899178612,1.0,1.0,,,
21,19498,42,0.04965831531830645,0.5,0.9210526315789473,,,
22,19884,44,0.0185451642668689,1.0,1.0,,,
23,20446,46,0.014736975382805603,1.0,1.0,,,
24,20880,48,0.01840048274476521,1.0,1.0,,,
25,21506,50,0.017298607274581206,1.0,1.0,0.03964043379758053,0.0,0.9473684210526315
26,22180,52,0.014014022829115043,0.5,0.9736842105263158,,,
27,24310,54,0.011073455069324535,1.0,1.0,,,
28,26936,56,0.010515502911523734,1.0,1.0,,,
29,27578,58,0.019476155733460003,0.5,0.9736842105263158,,,
30,28060,60,0.015212926774755754,1.0,1.0,,,
31,29022,62,0.012751545938189546,1.0,1.0,,,
32,29376,64,0.018757875748238593,1.0,1.0,,,
33,30770,66,0.014247719218015943,1.0,1.0,0.04379081993802664,0.0,0.9473684210526315
34,31284,68,0.012532610587309633,1.0,1.0,,,
35,31766,70,0.026482577027678644,0.5,0.9736842105263158,,,
36,32936,72,0.013460994568492991,1.0,1.0,,,
37,33402,74,0.01843546118844192,1.0,1.0,,,
38,34636,76,0.011816015989808889,1.0,1.0,,,
39,35374,78,0.014276765661819414,1.0,1.0,,,
40,36096,80,0.01694494470024569,1.0,1.0,,,
41,36946,82,0.015770899635752202,1.0,1.0,0.058666221791977696,0.0,0.9473684210526315
42,37396,84,0.01751019941881846,1.0,1.0,,,
43,38102,86,0.012990765647286686,1.0,1.0,,,
44,38616,88,0.015247351975724098,1.0,1.0,,,
45,40506,90,0.010775085770602403,1.0,1.0,,,
46,41180,92,0.014429941889902735,1.0,1.0,,,
47,41630,94,0.015049925846399139,0.5,0.9736842105263158,,,
48,42336,96,0.014446046667920263,1.0,1.0,,,
49,42866,98,0.01466927230994844,1.0,1.0,0.025927642990413363,0.5,0.9736842105263158
50,43172,100,0.015854550871992053,1.0,1.0,,,
51,44118,102,0.013498355400290794,1.0,1.0,,,
52,44568,104,0.01675227405442927,1.0,1.0,,,
53,45834,106,0.011719569066800033,1.0,1.0,,,
54,46588,108,0.01148831274278968,1.0,1.0,,,
55,47262,110,0.01700878797405881,1.0,1.0,,,
56,47872,112,0.017960767992757653,0.5,0.9736842105263158,,,
57,48402,114,0.014480224231741008,1.0,1.0,0.014149112019216353,1.0,1.0
58,51460,116,0.008583201103587098,1.0,1.0,,,
59,51878,118,0.01182174225113744,1.0,1.0,,,
60,52184,120,0.014642504422548356,1.0,1.0,,,
61,54010,122,0.010407837602819459,1.0,1.0,,,
62,54284,124,0.016607195903732056,1.0,1.0,,,
63,54990,126,0.009656966042265703,1.0,1.0,,,
64,55968,128,0.015088515183465394,1.0,1.0,,,
65,56354,130,0.010658541390347361,1.0,1.0,0.026572528392920382,0.5,0.9736842105263158
66,56692,132,0.015350378703033267,1.0,1.0,,,
67,57174,134,0.01272577139982121,1.0,1.0,,,
68,58072,136,0.013728890734223804,1.0,1.0,,,
69,58714,138,0.011449766023700616,1.0,1.0,,,
70,59164,140,0.016920270122463422,1.0,1.0,,,
71,59918,142,0.010483163974918377,1.0,1.0,,,
72,60096,144,0.013587623543651055,1.0,1.0,,,
73,60994,146,0.011138317342141496,1.0,1.0,0.033163253253295714,0.5,0.9736842105263158
74,61428,148,0.015130525533974329,1.0,1.0,,,
75,62070,150,0.011413129012460051,1.0,1.0,,,
76,62728,152,0.014426210474872803,1.0,1.0,,,
77,63258,154,0.011291242695794627,1.0,1.0,,,
78,63516,156,0.01469820008117642,1.0,1.0,,,
79,64510,158,0.013564552097992606,1.0,1.0,,,
80,65136,160,0.011590011192818859,1.0,1.0,,,
81,67122,162,0.011320447567356742,1.0,1.0,0.012879005799679086,1.0,1.0
82,67652,164,0.023450257135369097,0.5,0.9736842105263158,,,
83,68134,166,0.015436782832058231,1.0,1.0,,,
84,69192,168,0.020501507028627144,0.5,0.9736842105263158,,,
85,69786,170,0.013561825046142546,1.0,1.0,,,
86,70284,172,0.013625342617889849,1.0,1.0,,,
87,70894,174,0.012642913808775715,1.0,1.0,,,
88,71344,176,0.01189871409342629,1.0,1.0,,,
89,71762,178,0.01181964684291258,1.0,1.0,0.02057432928055346,0.5,0.9736842105263158
90,72580,180,0.0130495657267147,1.0,1.0,,,
91,73286,182,0.011355077473479674,1.0,1.0,,,
92,73928,184,0.014333740527720204,1.0,1.0,,,
93,74490,186,0.012142559459806176,1.0,1.0,,,
94,74876,188,0.013501714727092716,1.0,1.0,,,
95,76958,190,0.008729837863779653,1.0,1.0,,,
96,78064,192,0.018737937233914887,1.0,1.0,,,
97,78530,194,0.013546006605694586,1.0,1.0,0.05311563468636178,0.0,0.9473684210526315
98,79060,196,0.016211095366519466,0.5,0.9736842105263158,,,
99,80022,198,0.012175245498181239,1.0,1.0,,,
100,80440,200,0.020631152547611713,0.5,0.9736842105263158,,,
101,81050,202,0.012883386108099621,1.0,1.0,,,
102,81612,204,0.01309941971945169,1.0,1.0,,,
103,82862,206,0.008986661360279896,1.0,1.0,,,
104,83312,208,0.012684949347244035,1.0,1.0,,,
105,83698,210,0.01586160200316428,1.0,1.0,0.024333388751164434,0.0,0.9473684210526315
106,84196,212,0.018184295578261733,0.5,0.9736842105263158,,,
107,84550,214,0.01371938181880805,1.0,1.0,,,
108,85832,216,0.010059409917302888,1.0,1.0,,,
109,86762,218,0.018418763950328,1.0,1.0,,,
110,87340,220,0.011373372590307644,1.0,1.0,,,
111,88366,222,0.010532637169050174,1.0,1.0,,,
112,88800,224,0.010942804416418404,1.0,1.0,,,
113,89090,226,0.009405360768160512,1.0,1.0,0.01604712378521272,0.5,0.9736842105263158
114,89940,228,0.01110097252555587,1.0,1.0,,,
115,90582,230,0.009952158677616032,1.0,1.0,,,
116,91576,232,0.01111057788160941,1.0,1.0,,,
117,92138,234,0.015502194275880192,1.0,1.0,,,
118,94908,236,0.010197201205688016,1.0,1.0,,,
119,95294,238,0.013640003781348775,1.0,1.0,,,
120,95968,240,0.012078254993979026,1.0,1.0,,,
121,96482,242,0.016920477815342,0.5,0.9736842105263158,0.021240445947106844,0.5,0.9736842105263158
122,98036,244,0.00860452703381784,1.0,1.0,,,
123,98422,246,0.013280341467575124,1.0,1.0,,,
124,99192,248,0.009032257187958189,1.0,1.0,,,
125,99802,250,0.012257564670778764,1.0,1.0,,,
126,101084,252,0.010351729425420538,1.0,1.0,,,
127,101838,254,0.013554422334229852,1.0,1.0,,,
128,102432,256,0.01535106286666737,1.0,1.0,,,
129,103106,258,0.012606341954430281,1.0,1.0,0.05978594802585562,0.0,0.9473684210526315
130,103412,260,0.011799264198055718,1.0,1.0,,,
131,106070,262,0.009576209919066847,1.0,1.0,,,
132,106840,264,0.014593710210148943,1.0,1.0,,,
133,107242,266,0.01224557306492643,1.0,1.0,,,
134,108204,268,0.011505363819350096,1.0,1.0,,,
135,109102,270,0.016828719158931936,1.0,1.0,,,
136,109616,272,0.010305633432255696,1.0,1.0,,,
137,110226,274,0.012783217568637364,1.0,1.0,0.011056679291729442,1.0,1.0
138,110532,276,0.010482092155335973,1.0,1.0,,,
139,111158,278,0.012297443772435876,1.0,1.0,,,
140,111640,280,0.011212274691821011,1.0,1.0,,,
141,112362,282,0.009584429458039646,1.0,1.0,,,
142,112716,284,0.012534426085632983,1.0,1.0,,,
143,113518,286,0.01039425076249247,1.0,1.0,,,
144,113856,288,0.011298449303645567,1.0,1.0,,,
145,114146,290,0.01796522601245935,1.0,1.0,0.025826495266790102,0.0,0.9473684210526315
146,114660,292,0.013784873445378576,1.0,1.0,,,
147,114950,294,0.009796018208949089,1.0,1.0,,,
148,115720,296,0.011383853545444217,1.0,1.0,,,
149,116394,298,0.01331992682452616,1.0,1.0,,,
150,116972,300,0.011489066506738012,1.0,1.0,,,
